"country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","total","num_events","volunteers","id","document.id","array.index","gdp","sex_ratio","surface_area","life_expectancy_male","unemployment","imports","homicide_rate","iso2","employment_services","employment_industry","urban_population_growth","secondary_school_enrollment_female","employment_agriculture","capital","co2_emissions","forested_area","tourists","exports","life_expectancy_female","post_secondary_enrollment_female","post_secondary_enrollment_male","primary_school_enrollment_female","infant_mortality","gdp_growth","threatened_species","population","urban_population","secondary_school_enrollment_male","name","pop_growth","region","pop_density","internet_users","gdp_per_capita","fertility","refugees","primary_school_enrollment_male","currency.code","currency.name","isoa2","AreaPerCap","AreaTotHA","BiocapPerCap","BiocapTotGHA","Earths","EFConsPerCap","EFConsTotGHA","EFExportsPerCap","EFExportsTotGHA","EFImportsPerCap","EFImportsTotGHA","EFProdPerCap","EFProdTotGHA","GDP-PPP","GDP-USD","HDI","Population","api_country"
"Argentina",2019,"La Bichy Ahora",0,0,0,0,14,3,0,0,17,17,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Villavicencio",0,0,0,0,14,1,0,0,15,15,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Eco De Los Andes",0,0,0,0,14,0,0,0,14,14,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Cavatini",0,0,0,13,0,0,0,0,13,13,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Villa Del Sur",0,0,0,0,8,3,0,0,11,11,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Cepita",0,0,0,0,9,0,0,0,9,9,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Livra",0,0,0,0,5,4,0,0,9,9,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Nestlé",0,1,0,0,6,2,0,0,9,9,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Vino Toro",0,0,0,8,0,0,0,0,8,8,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Frutafiel",0,0,0,0,6,1,0,0,7,7,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Unilever",0,1,0,3,1,2,0,0,7,7,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Arcor",0,0,0,1,0,5,0,0,6,6,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"SC Johnson",0,1,1,3,0,0,0,0,5,5,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Seven Up",0,0,0,0,5,0,0,0,5,5,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Dea",0,0,0,0,3,2,0,0,5,5,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Sierra De Los Padres",0,0,0,0,4,1,0,0,5,5,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"The Clorox Group",0,4,0,0,0,1,0,0,5,5,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Goliat",0,0,0,0,2,2,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Pipas",0,0,0,0,0,4,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Mondelez International",0,0,0,0,0,4,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Dr Pepper Snapple Group",0,0,0,1,3,0,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Schneider",0,0,0,4,0,0,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Tacconi",0,0,0,0,4,0,0,0,4,4,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Brahma",0,0,0,3,0,0,0,0,3,3,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Baggio Pronto",0,0,0,3,0,0,0,0,3,3,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Fantoche",0,0,0,0,0,3,0,0,3,3,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Fernando",0,0,0,0,1,2,0,0,3,3,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
"Argentina",2019,"Ferrero Group",0,1,0,0,0,2,0,0,3,3,4,243,"1",1,1,518475,95.3,2780400,73,10.4,49125,5.3,"AR",78.9,21,1.2,111,0.1,"Buenos Aires",183.4,9.9,6942,65114,79.8,112.8,67.8,109.6,10.2,-2.5,285,45196,92,106.5,"Argentina",1,"South America",16.5,74.3,11687.6,2.3,165.6,109.9,"ARS","Argentine Peso","AR",5.13367511037248,229708859.651172,6.02842845771898,269745045.554865,2.14903843158842,3.31650662399365,148398747.143908,2.44833421482095,109551938.609271,0.517026610340513,23134614.1929914,5.24781422847408,234816071.560187,493273.0625,9984.5126953125,0.852999985218048,44745500,"Argentina"
